Begin date,Begin time,End date,End time,Exam,Coursekod,Course name,Room,House,Aktivitet,User text,Reservation comment,Teacher,Class,Group,Group,Spärraktivitet,Antal datorer 
2023-10-11,10:00,2023-10-11,11:45,,"DIT093GU,TIN093","Algorithms,Algorithms",SB-H2,SB2,Lecture,,,,"MPALG-1,MPCAS-2",,,,0
2023-10-11,13:15,2023-10-11,15:00,,"DIT093GU,TIN093","Algorithms,Algorithms","EB,EC","ED-blocket,ED-blocket",Exercise,,,,"MPALG-1,MPCAS-2",,,,"0,0"
2023-10-11,15:15,2023-10-11,17:00,,"DIT093GU,TIN093","Algorithms,Algorithms",EC,ED-blocket,Exercise,,,,"MPALG-1,MPCAS-2",,,,0
2023-10-12,13:15,2023-10-12,15:00,,"DAT060,DIT203GU","Logic in computer science,Logic in computer science",FB,Fysik-Huset,Lecture,,,,"MPALG-1,MPCSN-2",,,,0
2023-10-13,13:15,2023-10-13,15:00,,"DAT060,DIT203GU","Logic in computer science,Logic in computer science",HB2,Hörsalslängan,Exercise,,,,"MPALG-1,MPCSN-2",,,,0
2023-10-16,10:00,2023-10-16,11:45,,"DIT093GU,TIN093","Algorithms,Algorithms",HB3,Hörsalslängan,Lecture,,,,"MPALG-1,MPCAS-2",,,,0
2023-10-17,13:15,2023-10-17,15:00,,"DAT060,DIT203GU","Logic in computer science,Logic in computer science",HB3,Hörsalslängan,Lecture,,,,"MPALG-1,MPCSN-2",,,,0
2023-10-17,15:15,2023-10-17,17:00,,"DAT060,DIT203GU","Logic in computer science,Logic in computer science",HB3,Hörsalslängan,Exercise,,,,"MPALG-1,MPCSN-2",,,,0
2023-10-18,13:15,2023-10-18,15:00,,"DIT093GU,TIN093","Algorithms,Algorithms","EB,EC","ED-blocket,ED-blocket",Exercise,,,,"MPALG-1,MPCAS-2",,,,"0,0"
2023-10-18,15:15,2023-10-18,17:00,,"DIT093GU,TIN093","Algorithms,Algorithms",EC,ED-blocket,Exercise,,,,"MPALG-1,MPCAS-2",,,,0
2023-10-19,13:15,2023-10-19,15:00,,"DAT060,DIT203GU","Logic in computer science,Logic in computer science",HB3,Hörsalslängan,Lecture,,,,"MPALG-1,MPCSN-2",,,,0
2023-10-20,13:15,2023-10-20,15:00,,"DAT060,DIT203GU","Logic in computer science,Logic in computer science",HB2,Hörsalslängan,Exercise,,,,"MPALG-1,MPCSN-2",,,,0
